name,location,distance,rating,price
YOTEL Amsterdam,"Amsterdam Noord, Amsterdam",2.2 km from center,"8.1Scored 8.1 Very Good 8,711 reviews",N/A
Via Amsterdam,"Bijlmermeer, Amsterdam",6.6 km from center,"8.1Scored 8.1 Very Good 16,823 reviews",N/A
Ruby Emma Hotel Amsterdam,"Oost, Amsterdam",4.3 km from center,"8.6Scored 8.6 Excellent 6,276 reviews",N/A
Joy Hotel,"Zuidoost, Amsterdam",8.5 km from center,"7.4Scored 7.4 Good 7,731 reviews",N/A
ClinkNOORD Hostel,"Amsterdam Noord, Amsterdam",1.5 km from center,"8.0Scored 8.0 Very Good 15,106 reviews",N/A
Park Inn by Radisson Amsterdam City West,"Westpoort, Amsterdam",3.9 km from center,"8.0Scored 8.0 Very Good 19,839 reviews",N/A
Hotel Jansen Amsterdam Bajeskwartier,"Oost, Amsterdam",4.2 km from center,"8.3Scored 8.3 Very Good 1,623 reviews",N/A
Hotel Estheréa,"Amsterdam City Center, Amsterdam",400 m from center,"9.1Scored 9.1 Wonderful 4,862 reviews",N/A
Fully fitted room - 15 min from central station,"Zeeburg, Amsterdam",3.4 km from center,9.4Scored 9.4 Wonderful 40 reviews,N/A
The Alfred Hotel,"Oud Zuid, Amsterdam",2.6 km from center,"7.3Scored 7.3 Good 5,692 reviews",N/A
Motel One Amsterdam,"Zuideramstel, Amsterdam",3.8 km from center,"8.5Scored 8.5 Very Good 10,450 reviews",N/A
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel","Zuidoost, Amsterdam",7.8 km from center,"7.8Scored 7.8 Good 16,242 reviews",N/A
Bob W Amsterdam Noord,"Amsterdam Noord, Amsterdam",2.8 km from center,8.8Scored 8.8 Excellent 889 reviews,N/A
Qbic Amsterdam WTC,"Zuideramstel, Amsterdam",3.9 km from center,"7.8Scored 7.8 Good 3,960 reviews",N/A
Eden Hotel Amsterdam,"Amsterdam City Center, Amsterdam",0.8 km from center,"8.2Scored 8.2 Very Good 9,519 reviews",N/A
Hotel Casa Amsterdam,"Oost, Amsterdam",3.1 km from center,"8.8Scored 8.8 Excellent 9,959 reviews",N/A
nhow Amsterdam Rai,"Zuideramstel, Amsterdam",3.8 km from center,"9.0Scored 9.0 Wonderful 10,823 reviews",N/A
Amadi Park Hotel,"Oud West, Amsterdam",1.6 km from center,"7.7Scored 7.7 Good 1,860 reviews",N/A
OZO Hotels Arena Amsterdam,"Zuidoost, Amsterdam",8.4 km from center,"7.4Scored 7.4 Good 8,257 reviews",N/A
Grand Hotel Downtown,"Oud West, Amsterdam",1.6 km from center,"7.7Scored 7.7 Good 3,612 reviews",N/A
NH Amsterdam Leidseplein,"Oud West, Amsterdam",1.4 km from center,8.6Scored 8.6 Excellent 935 reviews,N/A
Stoke Travel's Amsterdam Camping,"Geuzenveld-Slotermeer, Amsterdam",7.5 km from center,6.6Scored 6.6 Review score 41 reviews,N/A
Mozart Hotel,"Amsterdam City Center, Amsterdam",1.1 km from center,"7.3Scored 7.3 Good 5,125 reviews",N/A
Hotel Iron Horse Amsterdam,"Oud West, Amsterdam",1.5 km from center,"7.4Scored 7.4 Good 1,884 reviews",N/A
"Holiday Inn Express Amsterdam - Sloterdijk Station, an IHG Hotel","Westpoort, Amsterdam",4.1 km from center,"7.9Scored 7.9 Good 8,256 reviews",N/A
